FID,IID,F1,F2
267,2671,0.01,NA
267,2672,0.232,NA
270,2701,0.472,NA
270,2702,-0.295,NA
277,2771,0.229,NA
279,2791,-0.178,NA
278,2781,0.36,NA
278,2782,-0.234,NA
280,2801,-0.218,0.952
280,2801,-0.117,NA
281,2811,0.233,NA
281,2812,-0.25,0.98
284,2841,0.41,NA
284,2842,0.335,0.076
285,2851,-0.085,0.042
285,2852,0.085,NA
286,2861,-0.469,NA
286,2862,-0.407,NA
287,2872,0.244,NA
288,2881,-0.017,-1.001
288,2882,-0.122,NA
290,2901,-0.078,NA
290,2902,-0.505,NA
292,2922,-0.212,0.496
293,2932,-0.196,0.144
294,2942,0.55,0.212
296,2962,-0.205,NA
297,2971,0.26,NA
297,2972,0.378,NA
298,2981,0.148,-0.058
298,2982,0.034,NA
300,3001,-0.097,NA
300,3002,-0.131,0.205
303,3031,0.035,NA
303,3032,0.256,NA
306,3062,-0.291,NA
308,3081,-0.297,NA
308,3082,0.054,NA
312,3121,0.43,NA
312,3122,-0.614,2.34
313,3131,0.018,-0.324
313,3132,NA,NA
314,3141,0.043,NA
314,3142,0.051,NA
316,3162,-0.054,NA
317,3172,0.112,0.538
318,3181,0.116,NA
318,3182,0.081,NA
320,3201,-0.306,NA
320,3202,-0.164,NA
321,3211,-0.28,-0.838
321,3212,-0.266,NA
322,3221,0.21,NA
322,3222,-0.616,0.05
323,3232,0.495,NA
325,3251,0.469,NA
325,3252,-0.507,1.884
327,3271,-0.288,NA
327,3272,0.097,NA
328,3282,-0.245,NA
329,3291,-0.394,0.417
329,3292,0.062,1.648
330,3301,-0.306,NA
330,3302,0.151,NA
332,3321,-0.251,-0.66
332,3322,NA,NA
334,3341,0.069,-0.177
335,3351,0.239,NA
335,3352,0.026,NA
336,3361,0.503,NA
337,3371,-0.015,0
340,3401,0.396,NA
340,3402,0.087,0.034
341,3411,0.147,NA
341,3412,0.041,0.009
344,3442,-0.385,NA
346,3462,0.065,NA
350,3501,-0.146,NA
352,3521,-0.219,0.498
353,3531,0.068,NA
353,3532,0.121,NA
354,3541,NA,NA
356,3561,0.318,NA
357,3571,0.04,-0.122
357,3572,0.03,NA
359,3591,0.096,-0.61
359,3592,0.337,NA
361,3611,-0.661,NA
362,3621,0.104,NA
362,3622,-0.264,-0.832
363,3631,0.037,-0.062
365,3651,0.034,NA
365,3652,-0.047,-0.822
367,3672,0.374,NA
368,3681,-0.425,NA
368,3682,0.244,NA
371,3711,-0.308,NA
371,3712,0.365,NA
369,3692,0.401,NA
370,3702,0.024,NA
375,3751,-0.708,NA
375,3752,-0.027,NA
376,3761,-0.081,NA
378,3781,-0.368,-0.903
378,3782,-0.023,NA
379,3792,0.375,NA
380,3801,0.12,NA
381,3811,-0.438,NA
381,3812,-0.297,NA
382,3821,-0.125,NA
388,3881,-0.45,NA
396,3962,-0.077,NA
398,3981,0.401,NA
399,3991,-0.621,NA
399,3992,-0.419,NA
401,4011,0.314,NA
403,4031,NA,1.363
403,4032,0.285,NA
406,4061,-0.001,NA
407,4071,-0.11,NA
407,4072,-0.506,0.857
408,4081,0.205,NA
408,4082,0.15,NA
409,4092,-0.225,1.142
410,4101,0.122,0.788
410,4102,0.257,NA
411,4111,-0.231,NA
414,4141,0.087,NA
414,4142,-0.251,NA
417,4171,-0.382,-0.293
418,4181,-0.223,0.473
441,4411,-0.376,0.048
441,4412,0.282,-1.033
422,4221,0.213,0
425,4252,0.006,NA
428,4282,0.426,NA
430,4301,-0.211,NA
431,4311,0.151,-0.131
431,4312,-0.15,NA
432,4322,-0.041,0.683
433,4331,0.081,0.756
433,4332,0.142,0.116
434,4342,-0.265,NA
435,4351,-0.069,0.028
435,4352,-0.273,0.863
436,4361,-0.146,NA
438,4381,0.319,NA
438,4382,0.21,-0.234
440,4401,NA,NA
442,4421,0.409,NA
443,4431,0.027,NA
443,4432,-0.63,NA
445,4451,-0.102,NA
446,4462,0.05,0.41
447,4471,-0.013,NA
447,4472,0.181,NA
449,4491,-0.005,NA
449,4492,0.152,NA
450,4502,-0.013,NA
454,4542,-0.395,NA
455,4552,0.07,NA
459,4592,0.16,NA
460,4601,0.032,NA
464,4641,0.118,NA
465,4651,0.029,NA
465,4652,-0.07,0.243
467,4671,-0.271,NA
467,4672,0.183,NA
468,4681,-0.286,NA
470,4701,0.12,NA
470,4702,0.068,NA
472,4721,NA,NA
472,4722,-0.506,NA
473,4731,-0.202,NA
473,4732,0.015,NA
474,4742,0.112,0.773
475,4751,NA,NA
476,4761,-0.064,-0.723
476,4762,0.497,0
479,4791,0.191,NA
481,4812,0.198,0.804
483,4832,0.003,-0.046
485,4851,0.269,NA
485,4852,-0.005,NA
486,4861,-0.023,NA
486,4862,-0.05,NA
487,4871,-0.308,NA
487,4872,-0.49,-0.041
488,4881,0.318,0.171
488,4882,0.283,NA
490,4901,-0.723,0.293
490,4902,-0.201,NA
491,4911,0.285,NA
492,4921,0.31,NA
492,4922,0.086,NA
498,4982,-0.1,NA
499,4991,0.031,NA
501,5012,0.08,NA
503,5032,-0.181,NA
504,5041,-0.141,NA
504,5042,0.459,-0.843
505,5051,-0.114,NA
506,5061,-0.081,NA
506,5062,-0.181,NA
508,5081,-0.219,-0.711
508,5082,-0.335,0.108
